5339.81490 14.028 0.005
5339.88055 14.038 0.005
5339.92047 14.028 0.005
5340.62941 14.032 0.005
5340.66710 14.045 0.005
5340.75362 14.026 0.005
5340.81133 14.025 0.005
5340.84938 14.020 0.005
5340.88784 14.045 0.005
5340.92546 14.052 0.005
5341.59961 14.040 0.005
5341.67282 14.027 0.005
5341.74419 14.033 0.005
5341.81875 14.020 0.005
5341.85696 14.021 0.005
5341.89469 14.020 0.005
5341.93488 14.009 0.005
5342.60898 14.016 0.005
5342.64645 14.007 0.005
5342.68409 14.015 0.005
5342.72158 14.010 0.005
5342.76320 14.026 0.005
5342.80457 14.021 0.005
5342.84231 14.026 0.005
5342.88017 14.021 0.005
5342.91802 14.004 0.005
5343.58971 13.996 0.005
5343.62735 14.007 0.005
5343.66501 14.010 0.005
5343.70276 13.990 0.005
5343.74076 14.026 0.005
5343.78117 14.023 0.005
5343.82024 14.000 0.005
5343.85835 14.008 0.005
5343.87108 13.997 0.005
5343.90918 13.986 0.005
5348.60522 13.923 0.005
5348.67469 13.916 0.005
5348.76740 13.915 0.005
5348.80565 13.935 0.005
5348.84356 13.925 0.005
5348.88809 13.910 0.005
5348.92774 13.915 0.005
5349.60415 13.860 0.005
5349.68596 13.908 0.005
5349.78075 13.909 0.005
5349.81876 13.932 0.005
5349.85798 13.919 0.005
5350.65638 13.868 0.005
5350.69394 13.852 0.005
5350.73265 13.899 0.005
5351.59474 13.894 0.005
5351.66327 13.887 0.005
5351.74426 13.881 0.005
5351.83086 13.871 0.005
5351.89129 13.882 0.005
5352.60598 13.813 0.005
5352.67483 13.852 0.005
5352.76047 13.843 0.005
5352.84354 13.842 0.005
5352.89705 13.852 0.005
5353.56592 13.818 0.005
5353.64897 13.830 0.005
5353.72722 13.851 0.005
5353.78244 13.841 0.005
5353.82015 13.821 0.005
5353.86492 13.814 0.005
5354.57824 13.809 0.005
5354.67229 13.814 0.005
5354.76952 13.812 0.005
5354.84140 13.799 0.005
5354.88158 13.802 0.005
5354.92007 13.809 0.005
5355.61350 13.823 0.005
5355.69789 13.833 0.005
5355.78489 13.828 0.005
5355.82546 13.826 0.005
5355.87400 13.818 0.005
5357.61415 13.798 0.005
5357.69607 13.798 0.005
5357.78636 13.797 0.005
5357.88344 13.789 0.005
5358.66587 13.785 0.005
5358.75916 13.776 0.005
5359.59299 13.771 0.005
5359.63411 13.771 0.005
5359.68798 13.767 0.005
5359.73729 13.776 0.005
5359.78597 13.756 0.005
5359.83003 13.753 0.005
5359.86978 13.749 0.005
5361.63584 13.726 0.005
5361.68185 13.730 0.005
5362.59648 13.729 0.005
5362.68212 13.726 0.005
5362.77739 13.731 0.005
5362.88189 13.707 0.005
5364.52453 13.689 0.005
5364.56949 13.693 0.005
5364.65403 13.698 0.005
5364.74941 13.682 0.005
5364.79376 13.680 0.005
5364.83314 13.686 0.005
5364.87313 13.674 0.005
5365.54238 13.673 0.005
5365.58682 13.682 0.005
5365.67717 13.680 0.005
5365.76985 13.679 0.005
5365.84130 13.664 0.005
5365.87990 13.662 0.005
5368.61635 13.616 0.005
5368.79446 13.619 0.005
5369.74189 13.607 0.005
5369.78670 13.596 0.005
5369.82596 13.592 0.005
5376.63221 13.467 0.005
5376.67234 13.459 0.005
5376.71208 13.468 0.005
5376.75034 13.472 0.005
5376.78860 13.465 0.005
5376.82680 13.471 0.005
5376.86477 13.457 0.005
5377.52078 13.450 0.005
5377.57531 13.445 0.005
5377.60412 13.440 0.005
5377.65052 13.452 0.005
5377.67144 13.453 0.005
5377.71614 13.454 0.005
5377.75923 13.444 0.005
